Bug,Dark,Dragon,Electric,Fairy,Flying,Fighting,Fire,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water
caterpie,umbreon,dratini,pikachu,clefairy,tornadus-incarnate,mankey,charmander,gastly,bulbasaur,sandshrew,jynx,pidgey,ekans,abra,geodude,steelix,squirtle
metapod,murkrow,dragonair,raichu,clefable,noibat,primeape,charmeleon,haunter,ivysaur,sandslash,articuno,pidgeotto,arbok,kadabra,graveler,skarmory,wartortle
butterfree,sneasel,dragonite,magnemite,cleffa,noivern,machop,charizard,gengar,venusaur,diglett,swinub,pidgeot,nidoran-f,alakazam,golem,mawile,blastoise
weedle,houndour,altaria,magneton,togepi,,machoke,vulpix,misdreavus,oddish,dugtrio,piloswine,rattata,nidorina,drowzee,onix,aron,psyduck
kakuna,houndoom,bagon,voltorb,togetic,,machamp,ninetales,shuppet,gloom,cubone,delibird,raticate,nidoqueen,hypno,omanyte,lairon,golduck
beedrill,poochyena,shelgon,electrode,snubbull,,hitmonlee,growlithe,banette,vileplume,marowak,smoochum,spearow,nidoran-m,mr-mime,omastar,aggron,poliwag
paras,mightyena,salamence,electabuzz,granbull,,hitmonchan,arcanine,duskull,bellsprout,rhyhorn,snorunt,fearow,nidorino,mewtwo,kabuto,beldum,poliwhirl
parasect,sableye,latias,jolteon,togekiss,,tyrogue,ponyta,dusclops,weepinbell,rhydon,glalie,jigglypuff,nidoking,mew,kabutops,metang,poliwrath
venonat,absol,latios,zapdos,flabebe,,hitmontop,rapidash,drifloon,victreebel,gligar,spheal,wigglytuff,zubat,natu,aerodactyl,metagross,tentacool
venomoth,honchkrow,rayquaza,pichu,floette,,makuhita,magmar,drifblim,exeggcute,phanpy,sealeo,meowth,golbat,xatu,sudowoodo,registeel,tentacruel
scyther,weavile,gible,mareep,florges,,hariyama,flareon,mismagius,exeggutor,donphan,walrein,persian,grimer,espeon,larvitar,jirachi,slowpoke
pinsir,darkrai,gabite,flaaffy,spritzee,,meditite,moltres,spiritomb,tangela,trapinch,regice,farfetchd,muk,unown,pupitar,bronzor,slowbro
ledyba,purrloin,garchomp,ampharos,aromatisse,,medicham,cyndaquil,dusknoir,chikorita,vibrava,glaceon,doduo,koffing,wobbuffet,tyranitar,bronzong,seel
ledian,liepard,axew,elekid,swirlix,,riolu,quilava,giratina-altered,bayleef,flygon,mamoswine,dodrio,weezing,lugia,nosepass,dialga,dewgong
spinarak,scraggy,fraxure,raikou,slurpuff,,lucario,typhlosion,yamask,meganium,baltoy,froslass,lickitung,crobat,celebi,lunatone,klink,shellder
ariados,scrafty,haxorus,electrike,sylveon,,timburr,slugma,cofagrigus,bellossom,claydol,vanillite,chansey,gulpin,ralts,solrock,klang,cloyster
yanma,zorua,druddigon,manectric,xerneas,,gurdurr,magcargo,litwick,hoppip,groudon,vanillish,kangaskhan,swalot,kirlia,lileep,klinklang,krabby
pineco,zoroark,reshiram,plusle,comfey,,conkeldurr,magby,lampent,skiploom,hippopotas,vanilluxe,tauros,seviper,gardevoir,cradily,cobalion,kingler
forretress,pawniard,zekrom,minun,,,throh,entei,chandelure,jumpluff,hippowdon,cubchoo,ditto,stunky,spoink,anorith,honedge,horsea
scizor,bisharp,kyurem,shinx,,,sawk,ho-oh,phantump,sunkern,rhyperior,beartic,eevee,skuntank,grumpig,armaldo,doublade,seadra
shuckle,vullaby,goomy,luxio,,,mienfoo,torchic,trevenant,sunflora,gliscor,cryogonal,porygon,skorupi,chimecho,regirock,aegislash-blade,goldeen
heracross,mandibuzz,sliggoo,luxray,,,mienshao,combusken,pumpkaboo-average,treecko,drilbur,bergmite,snorlax,drapion,wynaut,cranidos,klefki,seaking
wurmple,deino,goodra,pachirisu,,,pancham,blaziken,gourgeist-average,grovyle,excadrill,avalugg,sentret,croagunk,deoxys-normal,rampardos,celesteela,staryu
silcoon,zweilous,zygarde-50,magnezone,,,pangoro,numel,sandygast,sceptile,sandile,,furret,toxicroak,chingling,shieldon,magearna,starmie
